code_commune,commune,creations_total,creations_industrie,creations_construction,creations_commerce_transport,creations_info_com,creations_finance,creations_immo,creations_services_admin,creations_adm_sante_social,creations_autres_services,annee
62377,Gosnay,1,0,0,1,0,0,0,0,0,0,2017
62378,Gouves,1,0,0,1,0,0,0,0,0,0,2017
62379,Gouy-en-Artois,1,0,0,0,0,0,0,1,0,0,2017
62380,Gouy-Servins,2,0,0,1,0,0,0,0,0,1,2017
62381,Gouy-en-Ternois,1,0,0,0,0,0,0,0,1,0,2017
62382,Gouy-Saint-André,2,0,0,0,0,0,0,2,0,0,2017
62383,Gouy-sous-Bellonne,4,0,0,0,0,1,1,1,1,0,2017
62384,Graincourt-lès-Havrincourt,1,0,0,0,0,0,0,0,0,1,2017
62385,Grand-Rullecourt,1,0,0,1,0,0,0,0,0,0,2017
62386,Grenay,24,2,3,13,1,1,0,2,1,1,2017
62387,Grévillers,2,0,0,1,1,0,0,0,0,0,2017
62388,Grigny,3,0,1,0,0,0,0,1,1,0,2017
62389,Grincourt-lès-Pas,0,0,0,0,0,0,0,0,0,0,2017
62390,Groffliers,4,0,2,0,0,0,0,0,1,1,2017
62391,Guarbecque,6,0,0,4,0,1,0,0,1,0,2017
62392,Guémappe,2,0,1,1,0,0,0,0,0,0,2017
62393,Guemps,8,0,2,5,0,0,0,0,1,0,2017
62395,Guigny,1,0,1,0,0,0,0,0,0,0,2017
62396,Guinecourt,0,0,0,0,0,0,0,0,0,0,2017
62397,Guînes,20,1,2,5,0,0,0,3,6,3,2017
62398,Guisy,1,0,0,0,0,0,0,0,0,1,2017
62399,Habarcq,4,0,0,2,0,0,0,1,1,0,2017
62400,Haillicourt,25,1,0,14,1,1,1,1,3,3,2017
62401,Haisnes,24,0,6,6,1,0,1,3,3,4,2017
62402,Halinghen,5,1,1,1,0,0,1,1,0,0,2017
62403,Hallines,6,0,0,3,0,0,0,0,2,1,2017
62404,Halloy,0,0,0,0,0,0,0,0,0,0,2017
62405,Hamblain-les-Prés,1,0,0,0,0,0,0,1,0,0,2017
62406,Hamelincourt,4,0,0,2,0,0,0,0,0,2,2017
62407,Ham-en-Artois,3,0,1,1,0,0,0,0,0,1,2017
62408,Hames-Boucres,9,0,2,2,0,0,0,3,1,1,2017
62409,Hannescamps,0,0,0,0,0,0,0,0,0,0,2017
62410,Haplincourt,4,2,0,1,0,0,0,0,0,1,2017
62411,Haravesnes,0,0,0,0,0,0,0,0,0,0,2017
62412,Hardinghen,8,1,2,3,0,0,0,1,1,0,2017
62413,Harnes,48,1,3,24,1,1,1,6,6,5,2017
62414,Haucourt,7,2,1,1,0,0,0,2,0,1,2017
62415,Haute-Avesnes,5,0,0,0,0,2,2,0,0,1,2017
62416,Hautecloque,1,0,0,1,0,0,0,0,0,0,2017
62418,Hauteville,1,0,0,0,0,0,0,1,0,0,2017
62419,Haut-Loquin,0,0,0,0,0,0,0,0,0,0,2017
62421,Havrincourt,2,1,0,0,0,0,0,0,1,0,2017
62422,Hébuterne,3,0,0,1,0,0,0,0,1,1,2017
62423,Helfaut,10,2,0,2,0,1,0,1,3,1,2017
62424,Hendecourt-lès-Cagnicourt,0,0,0,0,0,0,0,0,0,0,2017
62425,Hendecourt-lès-Ransart,0,0,0,0,0,0,0,0,0,0,2017
